Registro|CodMateria
873263|241
873263|242
873263|243
873263|244
873263|245
873263|246
873263|247
873263|248
873263|249
873263|250
873263|252
873263|274
873263|276
873263|278
873263|452
873263|651
873263|655
873263|657
873263|740
873263|1275
873263|1601
873263|1603
873263|1604
873263|1652
873263|1653
800001|241
800001|242
800001|243
800001|244
800001|245
800001|246
800001|247
800001|248
800001|249
800001|250
800001|251
800001|252
800001|274
800001|275
800001|276
800001|278
800000|241
800000|242
800000|243
800000|244
800000|245
800000|246
800000|247
800002|241
800002|242
800002|243
800002|244
800002|245
800002|246
800002|247
800002|248
800002|249
800002|250
800002|251
800002|252
800002|274
800002|275
800002|276
800002|278
800002|452
800003|241
800003|242
800003|243
800003|244
800003|245
800003|246
800003|247
800003|248
800004|241
800004|242
800004|243
800004|244
800004|245
800004|246
800004|247
800004|248
800004|249
800004|261
800004|262
800004|284
800004|285
800005|241
800005|242
800005|243
800005|244
800005|245
800005|246
800005|247
800005|248
800005|249
800006|241
800006|242
800006|243
800006|244
800006|245
800006|246
800006|247
800006|248
800006|249
800006|250
800006|251
800006|252
800006|274
800006|275
800006|276
800006|278
800007|241
800007|242
800007|243
800007|244
800007|245
800007|246
800007|247
800007|248
800007|249
800007|250
800007|251
800007|252
800008|241
800008|242
800008|243
800008|244
800008|245
800008|246
800008|247
800008|248
800008|249
800008|276
800009|241
800009|242
800009|243
800009|244
800009|245
800009|246
800009|247
800010|241
800010|242
800010|243
800010|244
800010|245
800010|246
800010|247
800010|248
800010|249
800010|250
800010|252
892843|242
892843|244
892843|245
892843|241
892843|243
892843|246
892843|248
892843|249
892843|252
892843|250
892843|247
892843|1603
892843|274
892843|278
892843|452
892843|276
892843|1275
892843|1604
892843|1601
892843|277
892843|651
892843|1653
892843|457
892843|655
892843|1652
892569|241
892569|242
892569|243
892569|244
892569|245
892569|246
892569|247
892569|248
892569|249
892569|250
892569|252
892569|274
892569|276
892569|277
892569|278
892569|452
892569|457
892569|651
892569|655
892569|1275
892569|1601
892569|1603
892569|1604
892569|1652
892569|1653
885843|241
885843|242
885843|243
885843|244
885843|245
885843|246
885843|247
885843|248
885843|249
885843|250
885843|252
885843|274
885843|276
885843|277
885843|278
885843|279
885843|452
885843|651
885843|655
885843|740
885843|1275
885843|1601
885843|1603
885843|1604
885843|1652
885843|1653
885843|1659
885843|1799
885843|739
885843|658
123123|241
123123|242
123123|243
123123|244
123123|245
123123|246
123123|247
123123|248
123123|249
123123|250
123123|252
123123|274
123123|276
123123|278
123123|452
123123|651
123123|655
123123|657
123123|740
123123|1275
123123|1601
123123|1603
123123|1604
123123|1652
123123|1653
123123|658
123123|1654
111222|241
111222|242
111222|243
111222|244
111222|245
111222|246
111222|247
111222|248
111222|249
111222|250
111222|252
111222|274
111222|276
111222|277
111222|278
111222|279
111222|452
111222|651
111222|655
111222|740
111222|1275
111222|1601
111222|1603
111222|1604
111222|1652
111222|1653
111222|1659
111222|1799
111222|739
111222|658
111222|1654
123456|241
123456|242
123456|243
123456|244
123456|245
123456|246
123456|247
123456|248
123456|249
123456|250
123456|252
123456|274
123456|276
123456|277
123456|278
123456|279
123456|452
123456|651
123456|655
123456|740
123456|1275
123456|1601
123456|1603
123456|1604
123456|1652
123456|1653
123456|1659
123456|1799
123456|739
123456|658
